 Name                      Version     License                                                          
 Django                    3.0.5       BSD License                                                      
 Flask                     1.1.2       BSD License                                                      
 Flask-CLI                 0.4.0       BSD                                                              
 Flask-Cors                3.0.8       MIT License                                                      
 Jinja2                    2.11.1      BSD License                                                      
 MarkupSafe                1.1.1       BSD License                                                      
 Pillow                    7.1.1       Historical Permission Notice and Disclaimer (HPND)               
 Pygments                  2.6.1       BSD License                                                      
 Send2Trash                1.5.0       BSD License                                                      
 Werkzeug                  1.0.1       BSD License                                                      
 appdirs                   1.4.3       MIT License                                                      
 appnope                   0.1.0       BSD License                                                      
 asgiref                   3.2.7       BSD License                                                      
 attrs                     19.3.0      MIT License                                                      
 backcall                  0.1.0       BSD License                                                      
 bleach                    3.1.0       Apache Software License                                          
 blessings                 1.7         MIT License                                                      
 branca                    0.4.0       MIT License                              
 cachetools                4.0.0       MIT License                                                      
 certifi                   2019.11.28  Mozilla Public License 2.0 (MPL 2.0)                             
 chardet                   3.0.4       GNU Library or Lesser General Public License (LGPL)              
 click                     7.1.1       BSD License                                                      
 cycler                    0.10.0      BSD                                                              
 decorator                 4.4.2       BSD License                                                      
 defusedxml                0.6.0       Python Software Foundation License                               
 distlib                   0.3.0       Python Software Foundation License                               
 earthengine-api           0.1.231     Apache Software License                                          
 entrypoints               0.3         MIT License                                                      
 folium                    0.10.1      MIT License                                                      
 future                    0.18.2      MIT License                                                      
 google-api-core           1.16.0      Apache Software License                                          
 google-api-python-client  1.8.0       Apache Software License                                          
 google-auth               1.13.1      Apache Software License                                          
 google-auth-httplib2      0.0.3       Apache Software License                                          
 google-cloud-core         1.3.0       Apache Software License                                          
 google-cloud-storage      1.27.0      Apache Software License                                          
 google-resumable-media    0.5.0       Apache Software License                                          
 googleapis-common-protos  1.51.0      Apache Software License                                          
 httplib2                  0.17.1      MIT License                                                      
 httplib2shim              0.0.3       Apache Software License                                          
 idna                      2.9         BSD License                                                      
 image                     1.5.28      BSD                                                              
 importlib-metadata        1.5.0       Apache Software License                                          
 ipykernel                 5.1.4       BSD License                                                      
 ipython                   7.13.0      BSD License                                                      
 ipython-genutils          0.2.0       BSD License                                                      
 itsdangerous              1.1.0       BSD License                                                      
 jedi                      0.16.0      MIT License                                                      
 jmespath                  0.9.4       MIT License                                                      
 jsonschema                3.2.0       MIT License                                                      
 jupyter-client            6.1.2       BSD License                                                      
 jupyter-core              4.6.3       BSD License                                                      
 kiwisolver                1.2.0       BSD                                                              
 matplotlib                3.2.1       Python Software Foundation License                               
 mistune                   0.8.4       BSD License                                                      
 nbconvert                 5.6.1       BSD License                                                      
 nbformat                  5.0.4       BSD License                                                      
 notebook                  6.0.3       BSD License                                                      
 numpy                     1.18.2      BSD                                                              
 pandocfilters             1.4.2       BSD License                                                      
 parso                     0.6.2       MIT License                                                      
 pexpect                   4.8.0       ISC License (ISCL)                                               
 pickleshare               0.7.5       MIT License                                                      
 prometheus-client         0.7.1       Apache Software License                                          
 prompt-toolkit            3.0.4       BSD License                                                      
 protobuf                  3.11.3      3-Clause BSD License                                             
 ptyprocess                0.6.0       ISC License (ISCL)                                               
 pyasn1                    0.4.8       BSD License                                                      
 pyasn1-modules            0.2.8       BSD License                                                      
 pyparsing                 2.4.7       MIT License                                                      
 pyrsistent                0.16.0      MIT License                                                      
 python-dateutil           2.8.1       Apache Software License; BSD License                             
 pytz                      2019.3      MIT License                                                      
 pyzmq                     18.1.1      BSD License; GNU Library or Lesser General Public License (LGPL) 
 requests                  2.23.0      Apache Software License                                          
 rsa                       4.0         Apache Software License                                          
 s3transfer                0.2.1       Apache Software License                                          
 six                       1.14.0      MIT License                                                      
 sqlparse                  0.3.1       BSD License                                                      
 terminado                 0.8.3       BSD License                                                      
 testpath                  0.4.4       BSD License                                                      
 tornado                   6.0.4       Apache Software License                                          
 traitlets                 4.3.3       BSD License                                                      
 uritemplate               3.0.1       Apache Software License; BSD License                             
 urllib3                   1.25.8      MIT License                                                      
 wcwidth                   0.1.9       MIT License                                                      
 webencodings              0.5.1       BSD License                                                      
 zipp                      2.2.0       MIT License                                                      
